,dailysamples,dailyconfirmed,dailyrecovered,dailydeceased,totalcritical,ventilatorpatients,totalsamples,totalconfirmed,totalhospital,totalrecovered,totaldeceased,totalhousesurvey,populationcovered,housescovered,flu,active_hosp,active_home,Date
580,4432,108,94,2,101,,3616354,505363,766,495513,9084,,,,,333,433,14.11.2021
581,4081,48,54,1,97,,3620435,505411,759,495567,9085,,,,,324,,15.11.2021
582,3947,96,46,1,104,,3624382,505507,808,495613,9086,,,,,309,499,16.11.2021
583,5176,106,69,2,100,,3629558,505613,843,495682,9088,,,,,312,531,17.11.2021
584,4797,92,47,2,108,,3634355,505705,886,495729,9090,,,,,313,573,18.11.2021
585,5044,75,113,2,99,,3639399,505780,846,495842,9092,,,,,302,544,19.11.2021
586,4719,86,81,2,93,,3644118,505866,849,495923,9094,,,,,338,511,20.11.2021
587,4171,95,75,2,102,,3648289,505961,867,495998,9096,,,,,332,535,21.11.2021
588,3222,45,85,0,98,,3651511,506006,827,496083,9096,,,,,342,485,22.11.2021
589,3389,100,90,1,,,3654900,506106,836,496173,9097,,,,,325,511,23.11.2021
590,4842,95,106,2,101,,3659742,506201,823,496279,9099,,,,,320,503,24.11.2021
591,4411,90,47,2,105,,3664153,506291,864,496326,9101,,,,,323,541,25.11.2021
592,4628,88,95,0,97,,3668781,506379,857,496421,9101,,,,,329,528,26.11.2021
593,4569,94,104,2,97,,3673350,506473,845,496525,9103,,,,,315,530,27.11.2021
594,3926,97,90,0,95,,3677276,506570,852,496615,9103,,,,,335,517,28.11.2021
595,3118,51,73,0,,,3680394,506621,830,496688,9103,,,,,317,513,29.11.2021
596,3869,78,84,0,97,,3684263,506699,824,496772,9103,,,,,319,505,30.11.2021
597,5330,97,93,0,,,3689593,506796,828,496865,9103,,,,,318,510,1.12.2021
598,5227,85,45,0,94,,3694820,506881,868,496910,9103,,,,,307,561,2.12.2021
599,5962,84,99,1,92,,3700782,506965,852,497009,9104,,,,,302,550,3.12.2021
600,6398,90,93,0,,,3707180,507055,869,497102,9104,,,,,289,560,4.12.2021
601,5878,81,88,1,96,,3713058,507136,841,497190,9105,,,,,292,549,5.12.2021
602,4426,38,88,0,84,,3717484,507174,791,497278,9105,,,,,289,502,6.12.2021
603,4911,74,92,0,79,,3722395,507248,773,497370,9105,,,,,273,500,7.12.2021
604,6102,100,97,0,84,,3728437,507348,776,497467,9105,,,,,273,503,8.12.2021
605,6239,68,51,1,85,,3734736,507416,792,4975518,9106,,,,,283,509,9.12.2021
606,6500,77,78,1,79,,3741236,507493,790,497596,9107,,,,,287,505,10.12.2021
607,6192,86,97,1,83,,3747428,507579,778,497693,9108,,,,,273,505,11.12.2021
608,5989,96,85,0,82,,3753417,507675,789,497778,9108,,,,,283,506,12.12.2021
609,4486,53,83,1,80,,3757903,507728,758,497861,9109,,,,,271,487,13.12.2021
610,4168,71,90,0,85,,3762071,507799,739,497951,9109,,,,,289,450,14.12.2021
611,6229,120,80,0,85,,3768300,507919,779,498031,9109,,,,,289,490,15.12.2021
612,6027,122,38,0,85,,3774327,508041,863,508041,9109,,,,,301,562,16.12.2021
613,6219,73,74,0,85,,3780546,508114,862,498143,9109,,,,,289,574,17.12.2021
614,6609,92,100,0,91,,3787155,508206,854,498243,9109,,,,,294,560,18.12.2021
615,6311,84,64,0,83,,3793466,508290,874,498307,9109,,,,,301,573,19.12.2021
616,4269,33,77,0,81,,3797735,508323,830,498384,9109,,,,,291,539,20.12.2021
617,4543,95,86,0,81,,3802278,508418,839,498470,9109,,,,,284,555,21.12.2021
618,6077,127,96,1,82,,3808355,508545,869,498566,9110,,,,,278,591,22.12.2021
619,6692,79,52,1,82,,3815047,508624,895,498618,9111,,,,,279,616,23.12.2021
620,7429,120,72,1,77,,3822476,508744,942,498690,9112,,,,,281,661,24.12.2021
621,7506,149,119,0,74,,3829982,508893,972,498809,9112,,,,,281,691,25.12.2021
622,6075,132,121,2,76,,3836057,509025,981,498930,9114,,,,,283,698,26.12.2021
623,4651,80,71,0,76,,3840708,509105,990,499001,9114,,,,,283,707,27.12.2021
624,4701,171,91,1,85,,3845409,509276,1069,499092,9115,,,,,274,795,28.12.2021
625,6600,232,83,0,90,,3852009,509508,1218,499175,9115,,,,,287,931,29.12.2021
626,6160,298,33,1,89,,3858169,509806,1482,499208,9116,,,,,302,1180,30.12.2021
627,6944,412,95,0,92,,3865113,510218,1799,499303,9116,,,,,302,1497,31.12.2021
628,7588,399,127,1,92,,3872701,510617,2070,499430,9117,,,,,306,1764,1.1.2022
629,6786,524,79,1,99,,3879487,511141,2514,499509,9118,,,,,306,2208,2.1.2022
630,6573,444,120,0,101,,3886060,511585,2838,499629,9118,,,,,342,2496,3.1.2022
631,6819,1104,151,1,89,,3892879,512689,3790,500144,9119,,,,,367,3423,4.1.2022
632,13443,1805,131,0,73,,3906322,514494,5464,499911,9119,,,,,447,5017,5.1.2022
633,15775,2284,80,3,106,28,3922097,516778,7665,499991,9122,,,,,487,7178,6.1.2022
634,18086,2757,628,2,95,21,3941083,519535,9792,500619,9124,,,,,590,9202,7.1.2022
635,19186,2471,711,2,120,32,3959369,522006,11550,501330,9126,,,,,755,10795,8.1.2022
636,18012,4029,688,1,134,39,3977381,526035,14890,502018,9127,,,,,700,14190,9.1.2022
637,15139,3067,857,2,143,34,3992520,529102,17098,502875,9129,,,,,862,16236,10.1.2022
638,14983,3459,1104,1,146,38,4007503,532561,19452,503979,9130,,,,,862,18590,11.1.2022
639,20801,4857,1805,1,162,33,4028304,537418,22503,505784,9131,,,,,1019,21484,12.1.2022
640,19868,5571,2335,2,182,45,4048172,542989,25737,508119,9133,,,,,1128,24609,13.1.2022
641,20149,5480,2674,1,208,43,4068321,548469,28542,510793,9134,,,,,1235,27307,14.1.2022
642,19174,5705,2338,2,204,44,4087495,554174,31907,513131,9136,,,,,1251,30656,15.1.2022
643,19119,5375,3090,5,217,46,4106614,559549,34187,516221,9141,,,,,1280,32907,16.1.2022
644,15630,3959,3067,6,214,46,4122244,563508,35073,519288,9147,,,,,1202,33871,17.1.2022
645,14998,6320,3381,5,225,57,4137242,569828,38007,522669,9152,,,,,1457,36550,18.1.2022
646,22183,6441,4857,9,258,67,4159425,576269,39582,527526,9161,,,,,1339,38243,19.1.2022
647,20342,7264,4575,7,282,74,4179767,583533,42264,532101,9168,,,,,1548,40716,20.1.2022
648,20338,8301,5480,4,297,74,4200105,591834,45081,537581,9172,,,,,1607,43474,21.1.2022
649,19034,8246,7368,9,301,72,4219139,600080,45950,544949,9181,,,,,1655,44295,22.1.2022
650,17825,6299,5375,11,322,78,4236964,606379,46863,550324,9192,,,,,1667,45196,23.1.2022
651,12543,3377,3931,7,328,76,4249507,609756,46302,554255,9199,,,,,1301,45001,24.1.2022
652,13200,5271,6299,7,349,73,4262732,615027,45267,560554,9206,,,,,1631,43636,25.1.2022
653,18082,5521,6333,3,342,81,4280814,620548,44452,566887,9209,,,,,1609,42843,26.1.2022
654,12816,4136,7410,5,368,79,4293630,624684,41173,574297,9214,,,,,1609,39564,27.1.2022
655,10980,3374,8200,7,358,88,4304610,628058,36340,582497,9221,,,,,1460,34880,28.1.2022
656,12672,5410,8215,7,358,84,4317282,633468,33528,590712,9228,,,,,1460,32068,29.1.2022
657,11372,3896,6283,8,331,87,4328654,637364,31133,596995,9236,,,,,1239,29894,30.1.2022
658,8383,2056,3263,9,336,80,4337037,639420,29917,600258,9245,,,,,1316,28601,31.1.2022
659,8755,2075,5271,9,,,4345792,641495,26712,605529,9254,,,,,1197,25515,1.2.2022
660,11129,2846,5521,7,301,76,4356921,644341,24030,611050,9261,,,,,1128,22902,2.2.2022
661,10536,2141,4136,9,288,76,4367457,646482,22026,615186,9270,,,,,1081,20945,3.2.2022
662,9118,2110,3374,10,263,70,4376575,648592,20752,618560,9280,,,,,972,19780,4.2.2022
663,8833,1490,5410,9,243,76,4385408,650082,16823,623970,9289,,,,,898,15925,5.2.2022
664,7215,1434,3896,9,234,74,4392623,651516,14352,627866,9298,,,,,891,13461,6.2.2022
665,5657,776,2056,6,228,75,4398280,652292,13066,629922,9304,,,,,852,12214,7.2.2022
666,5048,964,2075,5,200,72,4403328,653256,11950,631997,9309,,,,,994,10956,8.2.2022
667,7373,1171,2846,8,214,65,4410701,654428,10268,634843,9317,,,,,684,9584,9.2.2022
668,6821,868,2141,7,209,56,4417522,655296,8988,636984,9324,,,,,764,8224,10.2.2022
669,6448,700,2197,2,204,56,4423970,655996,7489,639181,9326,,,,,735,8253,11.2.2022
670,5451,535,1490,3,199,56,4429421,656531,6531,640671,9329,,,,,664,5687,12.2.2022
671,5116,424,1377,2,201,49,4434537,656955,5576,642048,9331,,,,,664,4912,13.2.2022
672,3914,228,920,0,202,48,4438451,657183,4884,642968,9331,,,,,452,4432,14.2.2022
673,3818,334,964,2,191,50,4442269,657517,4252,643932,9333,,,,,409,3843,15.2.2022
674,4780,361,1165,0,163,45,4447049,657878,3448,645097,9333,,,,,413,3035,16.2.2022
675,4678,448,867,0,145,39,4451727,658326,3029,645964,9333,,,,,388,2641,17.2.2022
676,3910,318,700,1,136,35,4455637,658644,2646,646664,9334,,,,,399,2247,18.2.2022
677,4134,265,535,0,125,34,4459771,658909,2376,647199,9334,,,,,371,2005,19.2.2022
678,3592,225,422,2,126,30,4463363,659134,2177,647621,9336,,,,,380,1797,20.2.2022
679,2593,132,226,1,119,30,4465956,659266,2082,647847,9337,,,,,484,1598,21.2.2022
680,3140,199,333,1,108,27,4469096,659465,1947,648180,9338,,,,,251,1696,22.2.2022
681,3596,188,360,2,106,23,4472692,659653,1773,648540,9340,,,,,251,1522,23.2.2022
682,3490,215,446,2,95,21,4476182,659868,1540,648986,9342,,,,,233,1307,24.2.2022
683,3284,193,318,0,,,4479466,660061,1415,649304,9342,,,,,150,1265,25.2.2022
684,3456,176,263,2,63,17,4482919,660237,1326,649567,9344,,,,,139,1187,26.2.2022
685,2611,130,223,1,70,16,4485530,660367,1232,649790,9345,,,,,,,27.2.2022
686,2649,44,131,0,65,15,4488179,660411,1145,649921,9345,,,,,120,1025,28.2.2022
687,2271,120,199,0,64,14,4490450,660531,1066,650120,9346,,,,,120,946,1.3.2022
688,2778,65,188,0,62,14,4493228,660596,943,650308,9345,,,,,126,817,2.3.2022
689,2969,78,215,1,57,11,4496197,660674,805,650523,9346,,,,,87,718,3.3.2022
690,2792,120,192,1,53,11,4498989,660794,732,650715,9347,,,,,58,674,4.3.2022
691,2890,139,175,1,49,11,4501879,660933,695,650890,9348,,,,,54,641,5.3.2022
692,2703,99,129,0,57,11,4504582,661032,665,651019,9348,,,,,54,611,6.3.2022
693,1440,29,44,0,52,11,4506022,661061,650,651063,9348,,,,,63,,7.3.2022
694,2604,137,120,0,17,4,4508626,661198,667,651183,9348,,,,,56,611,8.3.2022
695,2518,125,65,0,9,1,4511144,661323,727,651248,9348,,,,,49,678,9.3.2022
696,2245,116,78,0,9,1,4513389,661439,765,651326,9348,,,,,55,710,10.3.2022
697,2679,41,120,0,,,4516068,661480,686,651446,9348,,,,,26,660,11.3.2022
698,2314,61,139,0,0,0,4518382,661541,608,651585,9348,,,,,26,528,12.3.2022
699,1944,65,99,0,1,0,4520326,661606,574,651684,9348,,,,,26,548,13.3.2022
700,1262,19,29,0,2,1,4521588,661625,564,651713,9348,,,,,,,14.3.2022
701,2101,18,137,0,5,1,4523689,661643,445,651850,9348,,,,,24,421,15.3.2022
702,2116,21,125,0,3,1,4525805,661664,341,651975,9348,,,,,8,333,16.3.2022
703,2328,21,116,0,4,0,4528133,661685,246,652091,9348,,,,,11,235,17.3.2022
704,2099,12,41,0,1,0,4530232,661697,217,652132,9348,,,,,11,206,18.3.2022
705,1670,10,61,0,1,0,4531902,661707,166,652193,9348,,,,,11,155,19.3.2022
706,1327,18,65,0,1,0,4533229,661725,119,652258,9348,,,,,11,108,20.3.2022
707,1278,12,19,0,1,0,4534507,661737,112,652277,9348,,,,,3,109,21.3.2022
708,1892,20,18,0,1,0,4536399,661757,114,652295,9348,,,,,8,106,22.3.2022
709,2236,22,21,1,1,0,4538635,661779,114,652316,9349,,,,,,,23.3.2022
710,2104,14,20,0,1,0,4540739,661793,108,652336,9349,,,,,6,102,24.3.2022
711,2041,15,12,0,1,0,4542780,661808,111,652348,9349,,,,,0,111,25.3.2022
712,1957,11,10,0,1,0,4544737,661819,112,652358,9349,,,,,1,111,26.3.2022
713,1695,21,18,0,1,0,4546432,661840,115,652376,9349,,,,,1,114,27.3.2022
714,1318,7,12,0,1,0,4547750,661847,110,652388,9349,,,,,,,28.3.2022
715,1993,8,20,0,2,0,4549743,661855,98,652408,9349,,,,,2,96,29.3.2022
716,1889,15,22,0,4,0,4551632,661870,91,652430,9349,,,,,,,30.3.2022
717,1841,42,14,0,3,0,4553473,661912,119,652444,9349,,,,,2,117,31.3.2022
718,1892,32,15,0,2,0,4555365,661944,136,652459,9349,,,,,,,1.4.2022
